"states","crops","Unit","Date","Value"
"Benue","Gari white,sold loose","Nigerian Naira","2017M1","163.03125"
"Benue","Gari white,sold loose","Nigerian Naira","2017M2","292.4"
"Benue","Gari white,sold loose","Nigerian Naira","2017M3","273.946653991599"
"Benue","Gari white,sold loose","Nigerian Naira","2017M4","252.278136702479"
"Benue","Gari white,sold loose","Nigerian Naira","2017M5","265.76"
"Benue","Gari white,sold loose","Nigerian Naira","2017M6","318.612440191388"
"Benue","Gari white,sold loose","Nigerian Naira","2017M7","292.186220095694"
"Benue","Gari white,sold loose","Nigerian Naira","2017M8","230.868823529412"
"Benue","Gari white,sold loose","Nigerian Naira","2017M9","263.767851777005"
"Benue","Gari white,sold loose","Nigerian Naira","2017M10","222.535354895026"
"Benue","Gari white,sold loose","Nigerian Naira","2017M11","214.135"
"Benue","Gari white,sold loose","Nigerian Naira","2017M12","209.014682818511"
"Benue","Gari white,sold loose","Nigerian Naira","2018M1","209.511151616415"
"Benue","Gari white,sold loose","Nigerian Naira","2018M2","214.287537024379"
"Benue","Gari white,sold loose","Nigerian Naira","2018M3","186.035434907615"
"Benue","Gari white,sold loose","Nigerian Naira","2018M4","183.433028006827"
"Benue","Gari white,sold loose","Nigerian Naira","2018M5","206.642384651538"
"Benue","Gari white,sold loose","Nigerian Naira","2018M6","189.993235231711"
"Benue","Gari white,sold loose","Nigerian Naira","2018M7","179.13721768852"
"Benue","Gari white,sold loose","Nigerian Naira","2018M8","192.747491333698"
"Benue","Gari white,sold loose","Nigerian Naira","2018M9","201.035040667394"
"Benue","Gari white,sold loose","Nigerian Naira","2018M10","183.685010641532"
"Benue","Gari white,sold loose","Nigerian Naira","2018M11","183.967019822283"
"Benue","Gari white,sold loose","Nigerian Naira","2018M12","163.159771120088"
"Benue","Gari white,sold loose","Nigerian Naira","2019M1","180"
"Benue","Gari white,sold loose","Nigerian Naira","2019M2","169.441050177892"
"Benue","Gari white,sold loose","Nigerian Naira","2019M3","167.261122300024"
"Benue","Gari white,sold loose","Nigerian Naira","2019M4","165.622242936316"
"Benue","Gari white,sold loose","Nigerian Naira","2019M5","163.8053846"
"Benue","Gari white,sold loose","Nigerian Naira","2019M6","147.744360902256"
"Benue","Gari white,sold loose","Nigerian Naira","2019M7","146.216045163414"
"Benue","Gari white,sold loose","Nigerian Naira","2019M8","156.79"
"Benue","Gari white,sold loose","Nigerian Naira","2019M9","146.911098055263"
"Benue","Gari white,sold loose","Nigerian Naira","2019M10","147.487272727273"
"Benue","Gari white,sold loose","Nigerian Naira","2019M11","173.519838557433"
"Benue","Gari white,sold loose","Nigerian Naira","2019M12","183.606881839965"
"Benue","Gari white,sold loose","Nigerian Naira","2020M1","182.12930474334"
"Benue","Gari white,sold loose","Nigerian Naira","2020M2","147.703036557526"
"Benue","Gari white,sold loose","Nigerian Naira","2020M3","151.725776636354"
"Benue","Gari white,sold loose","Nigerian Naira","2020M4","159.60222526012"
"Benue","Gari white,sold loose","Nigerian Naira","2020M5","167.346072310885"
"Benue","Gari white,sold loose","Nigerian Naira","2020M6","192.416985224003"
"Benue","Gari white,sold loose","Nigerian Naira","2020M7","203.061524034064"
"Benue","Gari white,sold loose","Nigerian Naira","2020M8","200.946188314609"
"Benue","Gari white,sold loose","Nigerian Naira","2020M9","206.298750829643"
"Benue","Gari white,sold loose","Nigerian Naira","2020M10","212.976332877649"
"Benue","Gari white,sold loose","Nigerian Naira","2020M11","219.505914702057"
"Benue","Gari white,sold loose","Nigerian Naira","2020M12","219.748991337746"
"Benue","Gari white,sold loose","Nigerian Naira","2021M1","220.554357922779"
"Benue","Gari white,sold loose","Nigerian Naira","2021M2","225.384664371261"
"Benue","Gari white,sold loose","Nigerian Naira","2021M3","225.500418182667"
"Benue","Gari white,sold loose","Nigerian Naira","2021M4","230.746943115364"
"Benue","Gari white,sold loose","Nigerian Naira","2021M5","232.472131769288"
"Benue","Gari white,sold loose","Nigerian Naira","2021M6","234.029285714286"
"Benue","Gari white,sold loose","Nigerian Naira","2021M7","238.432282003711"
"Benue","Gari white,sold loose","Nigerian Naira","2021M8","244.186111446173"
"Benue","Gari white,sold loose","Nigerian Naira","2021M9","245.472060833903"
"Benue","Gari white,sold loose","Nigerian Naira","2021M10","246.208477016405"
"Benue","Gari white,sold loose","Nigerian Naira","2021M11","248.034204967843"
"Benue","Gari white,sold loose","Nigerian Naira","2021M12","249.026341787714"
