Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
NGA,1973-01-01,1973-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7021,Annual value,,0.657894999000000,X
NGA,1973-01-01,1973-01-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7001,January,,0.657894999000000,X
NGA,1973-02-01,1973-02-28,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7002,February,,0.657894999000000,X
NGA,1973-03-01,1973-03-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7003,March,,0.657894999000000,X
NGA,1973-04-01,1973-04-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7004,April,,0.657894999000000,X
NGA,1973-05-01,1973-05-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7005,May,,0.657894999000000,X
NGA,1973-06-01,1973-06-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7006,June,,0.657894999000000,X
NGA,1973-07-01,1973-07-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7007,July,,0.657894999000000,X
NGA,1973-08-01,1973-08-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7008,August,,0.657894999000000,X
NGA,1973-09-01,1973-09-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7009,September,,0.657894999000000,X
NGA,1973-10-01,1973-10-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7010,October,,0.657894999000000,X
NGA,1973-11-01,1973-11-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7011,November,,0.657894999000000,X
NGA,1973-12-01,1973-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1973,1973,7012,December,,0.657894999000000,X
NGA,1974-01-01,1974-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7021,Annual value,,0.630282046200000,X
NGA,1974-01-01,1974-01-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7001,January,,0.657894999000000,X
NGA,1974-02-01,1974-02-28,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7002,February,,0.657894999000000,X
NGA,1974-03-01,1974-03-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7003,March,,0.657894999000000,X
NGA,1974-04-01,1974-04-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7004,April,,0.657894999000000,X
NGA,1974-05-01,1974-05-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7005,May,,0.617169660000000,X
NGA,1974-06-01,1974-06-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7006,June,,0.617169660000000,X
NGA,1974-07-01,1974-07-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7007,July,,0.616408802000000,X
NGA,1974-08-01,1974-08-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7008,August,,0.616218881000000,X
NGA,1974-09-01,1974-09-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7009,September,,0.616180911000000,X
NGA,1974-10-01,1974-10-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7010,October,,0.616218881000000,X
NGA,1974-11-01,1974-11-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7011,November,,0.616218881000000,X
NGA,1974-12-01,1974-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1974,1974,7012,December,,0.616218881000000,X
NGA,1975-01-01,1975-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7021,Annual value,,0.615501553400000,X
NGA,1975-01-01,1975-01-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7001,January,,0.615953188000000,X
NGA,1975-02-01,1975-02-28,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7002,February,,0.614665929000000,X
NGA,1975-03-01,1975-03-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7003,March,,0.613835861000000,X
NGA,1975-04-01,1975-04-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7004,April,,0.613835861000000,X
NGA,1975-05-01,1975-05-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7005,May,,0.613496933000000,X
NGA,1975-06-01,1975-06-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7006,June,,0.607754954000000,X
NGA,1975-07-01,1975-07-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7007,July,,0.607754954000000,X
NGA,1975-08-01,1975-08-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7008,August,,0.611172229000000,X
NGA,1975-09-01,1975-09-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7009,September,,0.617894217000000,X
NGA,1975-10-01,1975-10-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7010,October,,0.625938909000000,X
NGA,1975-11-01,1975-11-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7011,November,,0.617894217000000,X
NGA,1975-12-01,1975-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1975,1975,7012,December,,0.625821391000000,X
NGA,1976-01-01,1976-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7021,Annual value,,0.626601003700000,X
NGA,1976-01-01,1976-01-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7001,January,,0.621658586000000,X
NGA,1976-02-01,1976-02-29,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7002,February,,0.623519142000000,X
NGA,1976-03-01,1976-03-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7003,March,,0.625078135000000,X
NGA,1976-04-01,1976-04-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7004,April,,0.625078135000000,X
NGA,1976-05-01,1976-05-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7005,May,,0.625078135000000,X
NGA,1976-06-01,1976-06-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7006,June,,0.626487909000000,X
NGA,1976-07-01,1976-07-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7007,July,,0.626566416000000,X
NGA,1976-08-01,1976-08-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7008,August,,0.626566416000000,X
NGA,1976-09-01,1976-09-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7009,September,,0.628377530000000,X
NGA,1976-10-01,1976-10-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7010,October,,0.628733103000000,X
NGA,1976-11-01,1976-11-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7011,November,,0.630994448000000,X
NGA,1976-12-01,1976-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1976,1976,7012,December,,0.631074088000000,X
NGA,1977-01-01,1977-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7021,Annual value,,0.644701062100000,X
NGA,1977-01-01,1977-01-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7001,January,,0.631153750000000,X
NGA,1977-02-01,1977-02-28,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7002,February,,0.631153750000000,X
NGA,1977-03-01,1977-03-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7003,March,,0.631153750000000,X
NGA,1977-04-01,1977-04-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7004,April,,0.632031349000000,X
NGA,1977-05-01,1977-05-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7005,May,,0.651338501000000,X
NGA,1977-06-01,1977-06-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7006,June,,0.651380928000000,X
NGA,1977-07-01,1977-07-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7007,July,,0.651296080000000,X
NGA,1977-08-01,1977-08-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7008,August,,0.651380928000000,X
NGA,1977-09-01,1977-09-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7009,September,,0.651380928000000,X
NGA,1977-10-01,1977-10-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7010,October,,0.651380928000000,X
NGA,1977-11-01,1977-11-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7011,November,,0.651380928000000,X
NGA,1977-12-01,1977-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1977,1977,7012,December,,0.651380928000000,X
NGA,1978-01-01,1978-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7021,Annual value,,0.635271994300000,X
NGA,1978-01-01,1978-01-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7001,January,,0.627470666000000,X
NGA,1978-02-01,1978-02-28,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7002,February,,0.625860558000000,X
NGA,1978-03-01,1978-03-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7003,March,,0.621851875000000,X
NGA,1978-04-01,1978-04-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7004,April,,0.622703780000000,X
NGA,1978-05-01,1978-05-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7005,May,,0.627116519000000,X
NGA,1978-06-01,1978-06-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7006,June,,0.641025641000000,X
NGA,1978-07-01,1978-07-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7007,July,,0.639427074000000,X
NGA,1978-08-01,1978-08-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7008,August,,0.641025641000000,X
NGA,1978-09-01,1978-09-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7009,September,,0.640000000000000,X
NGA,1978-10-01,1978-10-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7010,October,,0.641025641000000,X
NGA,1978-11-01,1978-11-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7011,November,,0.647668394000000,X
NGA,1978-12-01,1978-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1978,1978,7012,December,,0.648088140000000,X
NGA,1979-01-01,1979-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7021,Annual value,,0.604007374000000,X
NGA,1979-01-01,1979-01-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7001,January,,0.648004147000000,X
NGA,1979-02-01,1979-02-28,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7002,February,,0.647500648000000,X
NGA,1979-03-01,1979-03-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7003,March,,0.636699351000000,X
NGA,1979-04-01,1979-04-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7004,April,,0.620848079000000,X
NGA,1979-05-01,1979-05-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7005,May,,0.615991130000000,X
NGA,1979-06-01,1979-06-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7006,June,,0.607459604000000,X
NGA,1979-07-01,1979-07-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7007,July,,0.590353622000000,X
NGA,1979-08-01,1979-08-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7008,August,,0.580282017000000,X
NGA,1979-09-01,1979-09-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7009,September,,0.574877839000000,X
NGA,1979-10-01,1979-10-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7010,October,,0.575109271000000,X
NGA,1979-11-01,1979-11-30,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7011,November,,0.580349370000000,X
NGA,1979-12-01,1979-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1979,1979,7012,December,,0.570613409000000,X
NGA,1980-01-01,1980-12-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1980,1980,7021,Annual value,,0.546780891900000,X
NGA,1980-01-01,1980-01-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1980,1980,7001,January,,0.554323725000000,X
NGA,1980-02-01,1980-02-29,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1980,1980,7002,February,,0.547765119000000,X
NGA,1980-03-01,1980-03-31,159,'566,Nigeria,LCU,Local currency units per USD,NGN,Naira,1980,1980,7003,March,,0.559159025000000,X
