indicator,currency,Unit,Date,Value,Year,Month
Central Rate,US Dollar,Nigerian Naira,2001-12-01,112.615384615385,2001,12
Central Rate,US Dollar,Nigerian Naira,2002-01-01,113.415909090909,2002,1
Central Rate,US Dollar,Nigerian Naira,2002-02-01,114.252631578947,2002,2
Central Rate,US Dollar,Nigerian Naira,2002-03-01,115.56,2002,3
Central Rate,US Dollar,Nigerian Naira,2002-04-01,115.628571428571,2002,4
Central Rate,US Dollar,Nigerian Naira,2002-05-01,116.05,2002,5
Central Rate,US Dollar,Nigerian Naira,2002-06-01,118.045,2002,6
Central Rate,US Dollar,Nigerian Naira,2002-07-01,123.343913043478,2002,7
Central Rate,US Dollar,Nigerian Naira,2002-08-01,125.030909090909,2002,8
Central Rate,US Dollar,Nigerian Naira,2002-09-01,125.9755,2002,9
Central Rate,US Dollar,Nigerian Naira,2002-10-01,125.97619047619,2002,10
Central Rate,US Dollar,Nigerian Naira,2002-11-01,126.322857142857,2002,11
Central Rate,US Dollar,Nigerian Naira,2002-12-01,126.387058823529,2002,12
Central Rate,US Dollar,Nigerian Naira,2003-01-01,126.59,2003,1
Central Rate,US Dollar,Nigerian Naira,2003-02-01,127.002777777778,2003,2
Central Rate,US Dollar,Nigerian Naira,2003-03-01,126.8565,2003,3
Central Rate,US Dollar,Nigerian Naira,2003-04-01,126.983,2003,4
Central Rate,US Dollar,Nigerian Naira,2003-05-01,127.168421052632,2003,5
Central Rate,US Dollar,Nigerian Naira,2003-06-01,127.400952380952,2003,6
Central Rate,US Dollar,Nigerian Naira,2003-07-01,127.324545454545,2003,7
Central Rate,US Dollar,Nigerian Naira,2003-08-01,127.605238095238,2003,8
Central Rate,US Dollar,Nigerian Naira,2003-09-01,128.172272727273,2003,9
Central Rate,US Dollar,Nigerian Naira,2003-10-01,129.287272727273,2003,10
Central Rate,US Dollar,Nigerian Naira,2003-11-01,136.106666666667,2003,11
Central Rate,US Dollar,Nigerian Naira,2003-12-01,195.770952380952,2003,12
Central Rate,US Dollar,Nigerian Naira,2004-01-01,135.538571428571,2004,1
Central Rate,US Dollar,Nigerian Naira,2004-02-01,134.655263157895,2004,2
Central Rate,US Dollar,Nigerian Naira,2004-03-01,133.971304347826,2004,3
Central Rate,US Dollar,Nigerian Naira,2004-04-01,132.99,2004,4
Central Rate,US Dollar,Nigerian Naira,2004-05-01,132.511904761905,2004,5
Central Rate,US Dollar,Nigerian Naira,2004-06-01,132.25,2004,6
Central Rate,US Dollar,Nigerian Naira,2004-07-01,132.297,2004,7
Central Rate,US Dollar,Nigerian Naira,2004-08-01,132.306818181818,2004,8
Central Rate,US Dollar,Nigerian Naira,2004-09-01,132.344545454545,2004,9
Central Rate,US Dollar,Nigerian Naira,2004-10-01,132.3815,2004,10
Central Rate,US Dollar,Nigerian Naira,2004-11-01,132.396,2004,11
Central Rate,US Dollar,Nigerian Naira,2004-12-01,132.357826086956,2004,12
Central Rate,US Dollar,Nigerian Naira,2005-01-01,132.36,2005,1
Central Rate,US Dollar,Nigerian Naira,2005-02-01,132.353,2005,2
Central Rate,US Dollar,Nigerian Naira,2005-03-01,132.353333333333,2005,3
Central Rate,US Dollar,Nigerian Naira,2005-04-01,132.3525,2005,4
Central Rate,US Dollar,Nigerian Naira,2005-05-01,132.3195,2005,5
Central Rate,US Dollar,Nigerian Naira,2005-06-01,132.368636363636,2005,6
Central Rate,US Dollar,Nigerian Naira,2005-07-01,132.3695,2005,7
Central Rate,US Dollar,Nigerian Naira,2005-08-01,131.567826086957,2005,8
Central Rate,US Dollar,Nigerian Naira,2005-09-01,129.017727272727,2005,9
Central Rate,US Dollar,Nigerian Naira,2005-10-01,129.0425,2005,10
Central Rate,US Dollar,Nigerian Naira,2005-11-01,128.864210526316,2005,11
Central Rate,US Dollar,Nigerian Naira,2005-12-01,128.501111111111,2005,12
Central Rate,US Dollar,Nigerian Naira,2006-01-01,128.5,2006,1
Central Rate,US Dollar,Nigerian Naira,2006-02-01,127.825,2006,2
Central Rate,US Dollar,Nigerian Naira,2006-03-01,126.977272727273,2006,3
Central Rate,US Dollar,Nigerian Naira,2006-04-01,126.695,2006,4
Central Rate,US Dollar,Nigerian Naira,2006-05-01,126.679523809524,2006,5
Central Rate,US Dollar,Nigerian Naira,2006-06-01,126.683333333333,2006,6
Central Rate,US Dollar,Nigerian Naira,2006-07-01,126.617142857143,2006,7
Central Rate,US Dollar,Nigerian Naira,2006-08-01,126.558181818182,2006,8
Central Rate,US Dollar,Nigerian Naira,2006-09-01,126.519523809524,2006,9
Central Rate,US Dollar,Nigerian Naira,2006-10-01,126.511578947368,2006,10
Central Rate,US Dollar,Nigerian Naira,2006-11-01,126.515909090909,2006,11
Central Rate,US Dollar,Nigerian Naira,2006-12-01,126.516842105263,2006,12
Central Rate,US Dollar,Nigerian Naira,2007-01-01,126.505789473684,2007,1
Central Rate,US Dollar,Nigerian Naira,2007-02-01,126.4985,2007,2
Central Rate,US Dollar,Nigerian Naira,2007-03-01,126.399047619048,2007,3
Central Rate,US Dollar,Nigerian Naira,2007-04-01,126.226666666667,2007,4
Central Rate,US Dollar,Nigerian Naira,2007-05-01,125.810476190476,2007,5
Central Rate,US Dollar,Nigerian Naira,2007-06-01,125.687692307692,2007,6
Central Rate,US Dollar,Nigerian Naira,2007-07-01,125.421578947368,2007,7
Central Rate,US Dollar,Nigerian Naira,2007-08-01,122.635454545455,2007,8
Central Rate,US Dollar,Nigerian Naira,2007-09-01,124.12052631579,2007,9
Central Rate,US Dollar,Nigerian Naira,2007-10-01,122.678947368421,2007,10
Central Rate,US Dollar,Nigerian Naira,2007-11-01,118.692727272727,2007,11
Central Rate,US Dollar,Nigerian Naira,2007-12-01,116.450588235294,2007,12
Central Rate,US Dollar,Nigerian Naira,2008-01-01,116.307727272727,2008,1
Central Rate,US Dollar,Nigerian Naira,2008-02-01,116.291428571429,2008,2
Central Rate,US Dollar,Nigerian Naira,2008-03-01,116.252777777778,2008,3
Central Rate,US Dollar,Nigerian Naira,2008-04-01,116.208181818182,2008,4
Central Rate,US Dollar,Nigerian Naira,2008-05-01,116.169,2008,5
Central Rate,US Dollar,Nigerian Naira,2008-06-01,116.142857142857,2008,6
Central Rate,US Dollar,Nigerian Naira,2008-07-01,116.102608695652,2008,7
Central Rate,US Dollar,Nigerian Naira,2008-08-01,113.695238095238,2008,8
Central Rate,US Dollar,Nigerian Naira,2008-09-01,116.06,2008,9
Central Rate,US Dollar,Nigerian Naira,2008-10-01,116.059090909091,2008,10
Central Rate,US Dollar,Nigerian Naira,2008-11-01,116.0785,2008,11
Central Rate,US Dollar,Nigerian Naira,2008-12-01,128.575789473684,2008,12
Central Rate,US Dollar,Nigerian Naira,2009-01-01,142.2565,2009,1
Central Rate,US Dollar,Nigerian Naira,2009-02-01,145.1775,2009,2
Central Rate,US Dollar,Nigerian Naira,2009-03-01,145.8,2009,3
Central Rate,US Dollar,Nigerian Naira,2009-04-01,145.2695,2009,4
Central Rate,US Dollar,Nigerian Naira,2009-05-01,145.878947368421,2009,5
Central Rate,US Dollar,Nigerian Naira,2009-06-01,146.235,2009,6
Central Rate,US Dollar,Nigerian Naira,2009-07-01,146.641304347826,2009,7
Central Rate,US Dollar,Nigerian Naira,2009-08-01,149.821904761905,2009,8
Central Rate,US Dollar,Nigerian Naira,2009-09-01,150.6095,2009,9
Central Rate,US Dollar,Nigerian Naira,2009-10-01,147.379047619048,2009,10
Central Rate,US Dollar,Nigerian Naira,2009-11-01,149.091111111111,2009,11
Central Rate,US Dollar,Nigerian Naira,2009-12-01,147.710476190476,2009,12
Central Rate,US Dollar,Nigerian Naira,2010-01-01,147.822,2010,1
Central Rate,US Dollar,Nigerian Naira,2010-02-01,148.237368421053,2010,2
Central Rate,US Dollar,Nigerian Naira,2010-03-01,147.845909090909,2010,3
Central Rate,US Dollar,Nigerian Naira,2010-04-01,147.898,2010,4
Central Rate,US Dollar,Nigerian Naira,2010-05-01,148.3175,2010,5
Central Rate,US Dollar,Nigerian Naira,2010-06-01,148.223181818182,2010,6
Central Rate,US Dollar,Nigerian Naira,2010-07-01,148.103636363636,2010,7
Central Rate,US Dollar,Nigerian Naira,2010-08-01,148.274090909091,2010,8
Central Rate,US Dollar,Nigerian Naira,2010-09-01,149.04,2010,9
Central Rate,US Dollar,Nigerian Naira,2010-10-01,149.193,2010,10
Central Rate,US Dollar,Nigerian Naira,2010-11-01,148.2425,2010,11
Central Rate,US Dollar,Nigerian Naira,2010-12-01,148.559047619048,2010,12
Central Rate,US Dollar,Nigerian Naira,2011-01-01,149.5245,2011,1
Central Rate,US Dollar,Nigerian Naira,2011-02-01,149.936666666667,2011,2
Central Rate,US Dollar,Nigerian Naira,2011-03-01,150.497391304348,2011,3
Central Rate,US Dollar,Nigerian Naira,2011-04-01,151.896111111111,2011,4
Central Rate,US Dollar,Nigerian Naira,2011-05-01,152.776111111111,2011,5
Central Rate,US Dollar,Nigerian Naira,2011-06-01,152.473181818182,2011,6
Central Rate,US Dollar,Nigerian Naira,2011-07-01,149.86,2011,7
Central Rate,US Dollar,Nigerian Naira,2011-08-01,150.703333333333,2011,8
Central Rate,US Dollar,Nigerian Naira,2011-09-01,153.245,2011,9
Central Rate,US Dollar,Nigerian Naira,2011-10-01,151.2145,2011,10
Central Rate,US Dollar,Nigerian Naira,2011-11-01,153.664,2011,11
Central Rate,US Dollar,Nigerian Naira,2011-12-01,156.141,2011,12
Central Rate,US Dollar,Nigerian Naira,2012-01-01,156.318571428571,2012,1
Central Rate,US Dollar,Nigerian Naira,2012-02-01,155.8,2012,2
Central Rate,US Dollar,Nigerian Naira,2012-03-01,155.527272727273,2012,3
Central Rate,US Dollar,Nigerian Naira,2012-04-01,155.273684210526,2012,4
Central Rate,US Dollar,Nigerian Naira,2012-05-01,155.2175,2012,5
Central Rate,US Dollar,Nigerian Naira,2012-06-01,155.381428571429,2012,6
Central Rate,US Dollar,Nigerian Naira,2012-07-01,155.375454545455,2012,7
Central Rate,US Dollar,Nigerian Naira,2012-08-01,155.321428571429,2012,8
