"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Nigeria","Market Average","Market Average","bread","2007-01-01","132.33","134.73","130.35","132.51","NGN"
"","Nigeria","Market Average","Market Average","bread","2007-02-01","132.72","134.95","129.64","130.86","NGN"
"","Nigeria","Market Average","Market Average","bread","2007-03-01","130.85","133.03","128.56","129.97","NGN"
"","Nigeria","Market Average","Market Average","bread","2007-04-01","129.84","131.81","127.86","129.75","NGN"
"","Nigeria","Market Average","Market Average","bread","2007-05-01","129.72","131.71","127.8","130.53","NGN"
"","Nigeria","Market Average","Market Average","bread","2007-06-01","130.66","132.54","128.82","131.12","NGN"
"","Nigeria","Market Average","Market Average","bread","2007-07-01","131.34","133.14","129.47","130.64","NGN"
"","Nigeria","Market Average","Market Average","bread","2007-08-01","130.76","135.76","128.99","135.76","NGN"
"","Nigeria","Market Average","Market Average","bread","2007-09-01","136.44","139.11","133.89","137.63","NGN"
"","Nigeria","Market Average","Market Average","bread","2007-10-01","138.61","144.41","136.4","144.4","NGN"
"","Nigeria","Market Average","Market Average","bread","2007-11-01","145.6","151.08","142.53","150.91","NGN"
"","Nigeria","Market Average","Market Average","bread","2007-12-01","152.74","156","149.47","153.02","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-01-01","154.45","159.4","151.65","159.19","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-02-01","160.47","163.46","157.39","159.02","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-03-01","160.07","162.81","157.38","160.31","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-04-01","160.79","163.31","157.93","158.83","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-05-01","159.18","162.95","156.75","161.57","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-06-01","161.93","165.43","159.13","164.13","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-07-01","165.2","168.3","162.68","167.32","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-08-01","168.14","170.84","163.79","163.99","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-09-01","164.22","167.04","161.13","163.16","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-10-01","162.91","165.47","159.81","161.06","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-11-01","160.93","163.43","156.14","156.35","NGN"
"","Nigeria","Market Average","Market Average","bread","2008-12-01","155.66","158.39","151.16","151.49","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-01-01","150.51","153.38","146.62","147.75","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-02-01","146.94","149.75","144.27","148.22","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-03-01","147.78","150.18","144.57","145.36","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-04-01","145.14","147.71","142.75","146.06","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-05-01","145.74","147.92","143.58","145.87","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-06-01","145.99","148.18","143.74","145.64","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-07-01","145.65","148.41","143.58","147.55","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-08-01","147.78","153.54","145.49","153.34","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-09-01","154.37","157.97","151.47","156.12","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-10-01","157.31","160.1","150.29","150.3","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-11-01","150.07","153.52","142.25","142.42","NGN"
"","Nigeria","Market Average","Market Average","bread","2009-12-01","141.08","145.2","137.14","140.89","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-01-01","139.93","143","136.92","140.45","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-02-01","140.42","143.05","137.54","138.63","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-03-01","138.35","140.82","135.76","137.9","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-04-01","137.59","139.84","135.02","136.66","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-05-01","136.44","140.79","134.28","140.37","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-06-01","140.85","143.47","137.54","138.16","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-07-01","138.29","140.89","135.82","139.18","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-08-01","139.05","141.39","132.59","132.66","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-09-01","132.11","135.2","128.8","131.45","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-10-01","130.7","133.17","128.01","129.78","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-11-01","129.45","135.07","127.13","135","NGN"
"","Nigeria","Market Average","Market Average","bread","2010-12-01","135.52","138.46","131.14","131.44","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-01-01","131.66","134.44","127.99","128.34","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-02-01","127.68","130.28","124.9","126.51","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-03-01","125.96","129.88","123.68","129.74","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-04-01","130.11","134.04","127.63","133.71","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-05-01","134.53","137.11","131.93","134.21","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-06-01","134.84","137.9","132.53","137.47","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-07-01","138.05","140.5","135.49","136.91","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-08-01","137.55","143.21","135","140.56","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-09-01","140.91","144.43","134.14","135.5","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-10-01","135.84","139.49","132.31","137.18","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-11-01","136.84","139.75","132.78","134.5","NGN"
"","Nigeria","Market Average","Market Average","bread","2011-12-01","134.55","137.93","131.8","136.98","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-01-01","137.17","139.88","133.35","134.12","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-02-01","134.28","139.66","131.57","139.42","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-03-01","139.81","142.99","136.74","141.07","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-04-01","142.1","144.95","139.24","142.1","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-05-01","142.52","145.36","139.92","143.43","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-06-01","143.98","146.53","140.68","141.24","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-07-01","141.38","144.17","138.81","142.87","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-08-01","142.94","145.29","140.61","143.01","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-09-01","143.4","145.62","138.58","138.79","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-10-01","138.54","141.33","135.7","139.25","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-11-01","138.92","141.99","136.53","141.3","NGN"
"","Nigeria","Market Average","Market Average","bread","2012-12-01","141.74","144.2","138.89","140.15","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-01-01","140.48","142.8","138.22","140.84","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-02-01","140.91","143.22","138.74","141.48","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-03-01","141.81","146.83","139.69","146.77","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-04-01","147.57","150.39","144.8","147.19","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-05-01","147.99","151.18","145.61","150.36","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-06-01","150.88","154.9","148.32","154.42","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-07-01","155.48","158.28","152.72","154.84","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-08-01","155.58","158.08","152.79","154.77","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-09-01","155.34","158.21","152.5","155.02","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-10-01","155.32","158.14","151.94","154.05","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-11-01","154.2","157.56","151.19","154.91","NGN"
"","Nigeria","Market Average","Market Average","bread","2013-12-01","155.13","158.39","152.35","156.31","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-01-01","156.84","161.2","154.24","160.44","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-02-01","161.24","164.39","158.31","161.13","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-03-01","162.04","165.25","159.4","163.88","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-04-01","164.52","167.39","161.73","164.4","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-05-01","165.09","168.37","162.5","167.23","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-06-01","167.79","172","165.09","170.8","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-07-01","171.97","179.55","168.6","177.48","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-08-01","179.19","185.03","175.05","182.84","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-09-01","184.71","190.9","180.2","188.72","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-10-01","190.69","195.5","185.27","189.44","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-11-01","190.1","195.38","185.03","189.26","NGN"
"","Nigeria","Market Average","Market Average","bread","2014-12-01","189.05","195.69","184.16","191.94","NGN"
"","Nigeria","Market Average","Market Average","bread","2015-01-01","192.17","197.37","183.75","187.83","NGN"
"","Nigeria","Market Average","Market Average","bread","2015-02-01","187.79","192.56","181.69","184.7","NGN"
"","Nigeria","Market Average","Market Average","bread","2015-03-01","183.94","188.62","179.63","185.59","NGN"
