indicator,currency,Unit,Date,Value,Year_x,Month_x,Year_y,Month_y,All Items (Year on Change),All Items (12 Months Avg. Change),Food (Year on Change)/1,Food (12 Months Avg. Change)/1
Central Rate,US Dollar,Nigerian Naira,2003-01-01,126.59,2003,1,2003,1,10.6,12.3,7.5,11.6
Central Rate,US Dollar,Nigerian Naira,2003-02-01,127.002777777778,2003,2,2003,2,7.3,11.4,3.5,9.7
Central Rate,US Dollar,Nigerian Naira,2003-03-01,126.8565,2003,3,2003,3,5.9,10.5,0.1,7.9
Central Rate,US Dollar,Nigerian Naira,2003-04-01,126.983,2003,4,2003,4,8.3,10.1,3.3,6.9
Central Rate,US Dollar,Nigerian Naira,2003-05-01,127.168421052632,2003,5,2003,5,8.7,10.0,3.3,6.3
Central Rate,US Dollar,Nigerian Naira,2003-06-01,127.400952380952,2003,6,2003,6,14.0,10.1,6.2,6.0
Central Rate,US Dollar,Nigerian Naira,2003-07-01,127.324545454545,2003,7,2003,7,12.9,10.0,0.1,4.7
Central Rate,US Dollar,Nigerian Naira,2003-08-01,127.605238095238,2003,8,2003,8,12.4,10.0,0.9,3.9
Central Rate,US Dollar,Nigerian Naira,2003-09-01,128.172272727273,2003,9,2003,9,18.4,10.7,6.2,4.0
Central Rate,US Dollar,Nigerian Naira,2003-10-01,129.287272727273,2003,10,2003,10,23.6,12.3,13.2,5.0
Central Rate,US Dollar,Nigerian Naira,2003-11-01,136.106666666667,2003,11,2003,11,21.3,13.0,12.4,5.4
Central Rate,US Dollar,Nigerian Naira,2003-12-01,195.770952380952,2003,12,2003,12,23.8,14.0,15.4,6.0
Central Rate,US Dollar,Nigerian Naira,2004-01-01,135.538571428571,2004,1,2004,1,22.4,15.0,11.9,6.3
Central Rate,US Dollar,Nigerian Naira,2004-02-01,134.655263157895,2004,2,2004,2,24.8,16.5,14.5,7.2
Central Rate,US Dollar,Nigerian Naira,2004-03-01,133.971304347826,2004,3,2004,3,22.5,17.8,15.6,8.5
Central Rate,US Dollar,Nigerian Naira,2004-04-01,132.99,2004,4,2004,4,17.5,18.5,14.4,9.4
Central Rate,US Dollar,Nigerian Naira,2004-05-01,132.511904761905,2004,5,2004,5,19.8,19.4,18.1,10.6
Central Rate,US Dollar,Nigerian Naira,2004-06-01,132.25,2004,6,2004,6,14.1,19.4,14.5,11.3
Central Rate,US Dollar,Nigerian Naira,2004-07-01,132.297,2004,7,2004,7,10.7,19.1,12.2,12.4
Central Rate,US Dollar,Nigerian Naira,2004-08-01,132.306818181818,2004,8,2004,8,13.0,19.1,16.3,13.7
Central Rate,US Dollar,Nigerian Naira,2004-09-01,132.344545454545,2004,9,2004,9,9.1,18.2,14.6,14.4
Central Rate,US Dollar,Nigerian Naira,2004-10-01,132.3815,2004,10,2004,10,10.7,17.1,15.4,14.6
Central Rate,US Dollar,Nigerian Naira,2004-11-01,132.396,2004,11,2004,11,10.0,16.1,15.1,14.8
Central Rate,US Dollar,Nigerian Naira,2004-12-01,132.357826086956,2004,12,2004,12,10.0,15.0,12.1,14.5
Central Rate,US Dollar,Nigerian Naira,2005-01-01,132.36,2005,1,2005,1,9.8,14.0,15.1,14.8
Central Rate,US Dollar,Nigerian Naira,2005-02-01,132.353,2005,2,2005,2,10.9,12.9,18.7,15.2
Central Rate,US Dollar,Nigerian Naira,2005-03-01,132.353333333333,2005,3,2005,3,16.3,12.5,25.0,16.0
Central Rate,US Dollar,Nigerian Naira,2005-04-01,132.3525,2005,4,2005,4,17.9,12.6,20.3,16.5
