Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
NGA,2010-01-01,2010-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,57000.000000,A
NGA,2011-01-01,2011-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,65700.000000,A
NGA,2012-01-01,2012-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,66700.000000,A
NGA,2013-01-01,2013-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,69300.000000,A
NGA,2010-01-01,2010-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2010,2010,7021,Annual value,SLC,57000.000000,A
NGA,2011-01-01,2011-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2011,2011,7021,Annual value,SLC,65700.000000,A
NGA,2012-01-01,2012-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2012,2012,7021,Annual value,SLC,66700.000000,A
NGA,2013-01-01,2013-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5531,Producer Price (SLC/tonne),2013,2013,7021,Annual value,SLC,69300.000000,A
NGA,2010-01-01,2010-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2010,2010,7021,Annual value,USD,379.200000,A
NGA,2011-01-01,2011-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2011,2011,7021,Annual value,USD,427.000000,A
NGA,2012-01-01,2012-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,423.500000,A
NGA,2013-01-01,2013-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,440.500000,A
NGA,1991-01-01,1991-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,2.920000,I
NGA,1992-01-01,1992-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,4.280000,I
NGA,1993-01-01,1993-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,6.750000,I
NGA,1994-01-01,1994-12-31,159,'566,Nigeria,426,'01251,Carrots and turnips,5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,11.590000,I
