State,Date,Annual Rainfall mm,Season Length Days,Region,Latitude,Longitude
Abia,2011,2136.5,253.5,South east,5.45409529947607,7.5153071
Abia,2012,2161.5,250.5,South east,5.45409529947607,7.5153071
Abia,2013,2258.5,274.5,South east,5.45409529947607,7.5153071
Abia,2014,2263.4,273.3,South east,5.45409529947607,7.5153071
Abia,2015,2093.875,267.875,South east,5.45409529947607,7.5153071
Abia,2016,2185.6666666666665,270.6666666666667,South east,5.45409529947607,7.5153071
Abia,2017,2344.1935483870966,269.19354838709677,South east,5.45409529947607,7.5153071
Abia,2018,2439.0,270.8521739130435,South east,5.45409529947607,7.5153071
Abia,2019,2176.0588235294117,273.52941176470586,South east,5.45409529947607,7.5153071
Abia,2020,2127.294117647059,276.7647058823529,South east,5.45409529947607,7.5153071
Akwa Ibom,2011,1974.3333333333333,237.0,South south,4.940863799511036,7.8412267
Akwa Ibom,2012,2283.0,253.33333333333334,South south,4.940863799511036,7.8412267
Akwa Ibom,2013,2479.0,280.0,South south,4.940863799511036,7.8412267
Akwa Ibom,2014,2557.125,286.625,South south,4.940863799511036,7.8412267
Akwa Ibom,2015,2421.0,283.6666666666667,South south,4.940863799511036,7.8412267
Akwa Ibom,2016,2509.153846153846,284.53846153846155,South south,4.940863799511036,7.8412267
Akwa Ibom,2017,2683.0,281.7142857142857,South south,4.940863799511036,7.8412267
Akwa Ibom,2018,2487.0,181.6086956521739,South south,4.940863799511036,7.8412267
Akwa Ibom,2019,2440.0,283.96774193548384,South south,4.940863799511036,7.8412267
Akwa Ibom,2020,2319.6129032258063,286.83870967741933,South south,4.940863799511036,7.8412267
Ekiti,2011,2199.0,256.0,South west,7.736890999391845,5.2738326
Ekiti,2012,2226.3333333333335,253.0,South west,7.736890999391845,5.2738326
Ekiti,2013,2329.6666666666665,277.6666666666667,South west,7.736890999391845,5.2738326
Ekiti,2014,1481.9,232.2,South west,7.736890999391845,5.2738326
Ekiti,2015,1394.375,225.5,South west,7.736890999391845,5.2738326
Ekiti,2016,1390.4375,225.9375,South west,7.736890999391845,5.2738326
Ekiti,2017,1474.875,223.0625,South west,7.736890999391845,5.2738326
Ekiti,2018,1409.0,251.85294117647058,South west,7.736890999391845,5.2738326
Ekiti,2019,1288.375,223.6875,South west,7.736890999391845,5.2738326
Ekiti,2020,1370.25,224.9375,South west,7.736890999391845,5.2738326
Oyo,2011,1106.6666666666667,221.0,South west,8.215124899390593,3.5642897
Oyo,2012,1130.3333333333333,234.0,South west,8.215124899390593,3.5642897
Oyo,2013,1237.6666666666667,236.0,South west,8.215124899390593,3.5642897
Oyo,2014,1258.875,229.625,South west,8.215124899390593,3.5642897
Oyo,2015,1258.75,217.3125,South west,8.215124899390593,3.5642897
Oyo,2016,1252.8823529411766,217.94117647058823,South west,8.215124899390593,3.5642897
Oyo,2017,1323.076923076923,216.34615384615384,South west,8.215124899390593,3.5642897
Oyo,2018,1328.0,229.6171875,South west,8.215124899390593,3.5642897
Oyo,2019,1246.7575757575758,235.87878787878788,South west,8.215124899390593,3.5642897
Oyo,2020,1337.030303030303,222.87878787878788,South west,8.215124899390593,3.5642897
Edo,2011,1890.0,242.0,South south,6.607657499417959,5.9722713
Edo,2012,1743.0,230.5,South south,6.607657499417959,5.9722713
Edo,2013,2038.5,262.5,South south,6.607657499417959,5.9722713
Edo,2014,1865.0,254.71428571428572,South south,6.607657499417959,5.9722713
Edo,2015,1710.3333333333333,246.33333333333334,South south,6.607657499417959,5.9722713
Edo,2016,1713.3846153846155,246.15384615384616,South south,6.607657499417959,5.9722713
