"indicator","currency","Unit","Date","Value"
"Central Rate","US Dollar","Nigerian Naira","2001M12","112.615384615385"
"Central Rate","US Dollar","Nigerian Naira","2002M1","113.415909090909"
"Central Rate","US Dollar","Nigerian Naira","2002M2","114.252631578947"
"Central Rate","US Dollar","Nigerian Naira","2002M3","115.56"
"Central Rate","US Dollar","Nigerian Naira","2002M4","115.628571428571"
"Central Rate","US Dollar","Nigerian Naira","2002M5","116.05"
"Central Rate","US Dollar","Nigerian Naira","2002M6","118.045"
"Central Rate","US Dollar","Nigerian Naira","2002M7","123.343913043478"
"Central Rate","US Dollar","Nigerian Naira","2002M8","125.030909090909"
"Central Rate","US Dollar","Nigerian Naira","2002M9","125.9755"
"Central Rate","US Dollar","Nigerian Naira","2002M10","125.97619047619"
"Central Rate","US Dollar","Nigerian Naira","2002M11","126.322857142857"
"Central Rate","US Dollar","Nigerian Naira","2002M12","126.387058823529"
"Central Rate","US Dollar","Nigerian Naira","2003M1","126.59"
"Central Rate","US Dollar","Nigerian Naira","2003M2","127.002777777778"
"Central Rate","US Dollar","Nigerian Naira","2003M3","126.8565"
"Central Rate","US Dollar","Nigerian Naira","2003M4","126.983"
"Central Rate","US Dollar","Nigerian Naira","2003M5","127.168421052632"
"Central Rate","US Dollar","Nigerian Naira","2003M6","127.400952380952"
"Central Rate","US Dollar","Nigerian Naira","2003M7","127.324545454545"
"Central Rate","US Dollar","Nigerian Naira","2003M8","127.605238095238"
"Central Rate","US Dollar","Nigerian Naira","2003M9","128.172272727273"
"Central Rate","US Dollar","Nigerian Naira","2003M10","129.287272727273"
"Central Rate","US Dollar","Nigerian Naira","2003M11","136.106666666667"
"Central Rate","US Dollar","Nigerian Naira","2003M12","195.770952380952"
"Central Rate","US Dollar","Nigerian Naira","2004M1","135.538571428571"
"Central Rate","US Dollar","Nigerian Naira","2004M2","134.655263157895"
"Central Rate","US Dollar","Nigerian Naira","2004M3","133.971304347826"
"Central Rate","US Dollar","Nigerian Naira","2004M4","132.99"
"Central Rate","US Dollar","Nigerian Naira","2004M5","132.511904761905"
"Central Rate","US Dollar","Nigerian Naira","2004M6","132.25"
"Central Rate","US Dollar","Nigerian Naira","2004M7","132.297"
"Central Rate","US Dollar","Nigerian Naira","2004M8","132.306818181818"
"Central Rate","US Dollar","Nigerian Naira","2004M9","132.344545454545"
"Central Rate","US Dollar","Nigerian Naira","2004M10","132.3815"
"Central Rate","US Dollar","Nigerian Naira","2004M11","132.396"
"Central Rate","US Dollar","Nigerian Naira","2004M12","132.357826086956"
"Central Rate","US Dollar","Nigerian Naira","2005M1","132.36"
"Central Rate","US Dollar","Nigerian Naira","2005M2","132.353"
"Central Rate","US Dollar","Nigerian Naira","2005M3","132.353333333333"
"Central Rate","US Dollar","Nigerian Naira","2005M4","132.3525"
"Central Rate","US Dollar","Nigerian Naira","2005M5","132.3195"
"Central Rate","US Dollar","Nigerian Naira","2005M6","132.368636363636"
"Central Rate","US Dollar","Nigerian Naira","2005M7","132.3695"
"Central Rate","US Dollar","Nigerian Naira","2005M8","131.567826086957"
"Central Rate","US Dollar","Nigerian Naira","2005M9","129.017727272727"
"Central Rate","US Dollar","Nigerian Naira","2005M10","129.0425"
"Central Rate","US Dollar","Nigerian Naira","2005M11","128.864210526316"
"Central Rate","US Dollar","Nigerian Naira","2005M12","128.501111111111"
"Central Rate","US Dollar","Nigerian Naira","2006M1","128.5"
"Central Rate","US Dollar","Nigerian Naira","2006M2","127.825"
"Central Rate","US Dollar","Nigerian Naira","2006M3","126.977272727273"
"Central Rate","US Dollar","Nigerian Naira","2006M4","126.695"
"Central Rate","US Dollar","Nigerian Naira","2006M5","126.679523809524"
